ac_id,requirement,ac_number,design_section,task_ids,test_ids,coverage_status,when_summary,then_summary,notes
Req4.AC5,4,5,§4.1.2,43,122,COVERED,the cron processes the result,`onboarding_status` MUST be set to `'UNDER_NETCRED_REVIEW'`; `netcred_company_id` and `netcred_bank_account_id` MUST NOT be persisted.,Non-ACTIVE companyState → UNDER_NETCRED_REVIEW
Req4.AC6,4,6,§4.1.2,69;82,122,COVERED,the cron processes the result,the system MUST emit a `WARNING` Sentry event and skip automatic activation for that provider; manual review MUST be required before activation.,Multiple edges → WARNING Sentry; skip activation
Req4.AC7,4,7,§4.1.2,43;82,122,COVERED,the cron processes the result,"even if `companyState = 'ACTIVE'`, the provider MUST NOT be activated; `onboarding_status` MUST be set to `'UNDER_NETCRED_REVIEW'`; a `WARNING` log MUST be emitted.",ACTIVE without bankAccounts → UNDER_NETCRED_REVIEW
Req4.AC8,4,8,§4.1.2,69,122,COVERED,the cron executes,it MUST process them in sequential batches of 50 with a configurable inter-batch delay (default: 2 seconds) to respect API rate limits; it MUST NOT attempt all providers in a singl…,Sequential batches of 50 + inter-batch delay
Req5.AC1,5,1,"§4.2.1, §4.2.2",19;71,94,COVERED,the stepper evaluates client profile completeness,"it MUST check for presence of: (1) `CPF` in `client_profiles_private`, (2) `phone` in `profiles`, (3) a billing address in the payment profile; each missing field generates one add…",Step resolution CPF→phone→card order
Req5.AC2,5,2,"§4.2.1, §4.2.2",72,94,COVERED,they submit a CPF value,the system MUST validate CPF format AND check digits client-side (before submission) and server-side (in the Edge Function); an invalid CPF MUST produce a field-level error with a …,CPF validation client + server
Req5.AC3,5,3,"§4.2.1, §4.2.2",72;123,94,COVERED,the value is persisted,`client_profiles_private.cpf` MUST be updated in the same Edge Function call; the CPF collection step MUST NOT appear in any subsequent acceptance flow for the same client.,Persist CPF; step not shown again
Req5.AC4,5,4,"§4.2.1, §4.2.2",72,94,COVERED,the phone collection step is displayed,the UI MUST explain that the phone is required by the payment partner for transaction processing and fraud prevention; the explanation MUST reference the payment partner without na…,Phone step explanation copy
Req5.AC5,5,5,"§4.2.1, §4.2.2",74,94,COVERED,the card selection step is rendered,"the system MUST display a full card input form collecting: card number (16 digits, formatted), expiry month, expiry year, CVV, cardholder full name, and billing address fields (log…",Full card form when no saved cards
Req5.AC6,5,6,"§4.2.1, §4.2.2",74;78,94,COVERED,the card selection step is rendered,"the system MUST display each saved card as a selectable option showing: masked card number (`•••• XXXX`), brand icon, expiry month/year; PLUS an ""Add new card"" option that renders …",Saved card selection UI
Req5.AC7,5,7,"§4.2.1, §4.2.2",74;75,94,COVERED,proceeding to the installment step,the selected token's `card_brand` MUST be passed to the installment calculation Edge Function to apply the correct fee schedule (Visa/Master vs Elo/Other).,Pass card_brand to installment RPC
Req5.AC8,5,8,"§4.2.1, §4.2.2",73,94,COVERED,the step component mounts,"the frontend MUST: (1) generate a UUID v4 as the ClearSale `sessionId` for this checkout session, (2) inject and initialize the ClearSale Browser/WebView SDK script (`//device.clea…",ClearSale sessionId UUID on card step mount
Req5.AC9,5,9,"§4.2.1, §4.2.2",73,94,COVERED,the script executes,it MUST be loaded asynchronously (using the standard ClearSale async loader pattern) so it does not block card form rendering; the SDK collects public device information and transm…,Async fp.js loader
Req5.AC10,5,10,"§4.2.1, §4.2.2",73,94,COVERED,the card step renders inside the Capacitor WebView,the Browser/WebView SDK (`fp.js`) MUST be used — NOT the React Native SDK; the Capacitor WebView runs the standard web JavaScript environment and the Browser SDK applies.,Capacitor WebView uses Browser SDK
Req6.AC1,6,1,"§4.2.3, §3.3, §11.1",64;74,94,COVERED,the form action triggers,"the frontend MUST invoke the Edge Function `tokenize-payment-card` over HTTPS with the complete card input (PAN, CVV, expiry, cardholder name, CPF, phone, billing address); raw car…",HTTPS to tokenize EF only; no cache
Req6.AC2,6,2,"§4.2.3, §3.3, §11.1",64;61,93,COVERED,it calls `paymentProfileCreate` via the `NetCredAdapter`,`customerInput.persist` MUST be `false`; `customerInput.companyId` MUST be set to `netcred_company_id` of the service provider; `billingAddressInput` MUST be included in ALL calls …,paymentProfileCreate persist=false; billingAddress required
Req6.AC3,6,3,"§4.2.3, §3.3, §11.1",20;64,115,COVERED,`paymentProfile.isActive = true`,"the Edge Function MUST insert a `payment_tokens` record containing ONLY: `gateway_payment_profile_id` (= `paymentProfile.id`), `card_number_masked`, `card_brand`, `provider_card_t…",INSERT client_card_tokens metadata only
Req6.AC4,6,4,"§4.2.3, §3.3, §11.1",64,93,COVERED,the tokenization fails,the Edge Function MUST return an error response to the client exposing `errors[].message`; the `accept_proposal` flow MUST NOT proceed; no partial `payment_tokens` record MUST be c…,Tokenization failure → no partial record
Req6.AC5,6,5,"§4.2.3, §3.3, §11.1",64;78,94,COVERED,tokenization is executed,the SAME `tokenize-payment-card` Edge Function MUST be used; the resulting `payment_tokens` record MUST be associated with `client_id` but without a `service_id` linkage; it MUST b…,Profile add card reuses same EF
Req6.AC6,6,6,"§4.2.3, §3.3, §11.1",35;67,118,COVERED,the handler processes it,"the corresponding `payment_tokens` record MUST be updated to `state = 'TOKENIZATION_FAILED'`; if this token is linked to a `SCHEDULED` payment schedule, the client MUST be notified…",PAYMENT_PROFILE_TOKENIZE webhook → TOKENIZATION_FAILED
Req6.AC7,6,7,"§4.2.3, §3.3, §11.1",35;126,118,COVERED,the handler processes it,"for each `payment_tokens` record matched by `gateway_payment_profile_id`, all linked `payment_schedules` in `SCHEDULED` state MUST have their clients notified to update their paym…",PAYMENT_PROFILE_EXPIRING → notify update method
Req7.AC1,7,1,"§4.3, §3.12",18;75,117,COVERED,the step is rendered,"the frontend MUST invoke the Edge Function `calculate-installment-options` passing `proposal_id`, `service_id`, and `card_brand`; installment fees MUST NOT be computed client-side.",RPC-only fee computation at installment step
Req7.AC2,7,2,"§4.3, §3.12",17;18,117,COVERED,it reads fee configuration,"it MUST read all rate values exclusively from `platform_constants`; specifically: `cc_visa_master_1x_rate`, `cc_visa_master_2_6x_rate`, `cc_visa_master_7_12x_rate`, `cc_elo_other_1…",Read rates from platform_constants
Req7.AC3,7,3,"§4.3, §3.12",17;18,117,COVERED,installment options 1 through 12 are computed,"for each installment `n`, the system MUST compute: - `applicable_rate_pct`: determined by `card_brand` and range (`1x`, `2–6x`, `7–12x`) from `platform_constants` - `total_with_fee…",Fee formula + banker's rounding on installment_amount
Req7.AC4,7,4,"§4.3, §3.12",18;90,117,COVERED,the Edge Function prepares its response,"it MUST generate an HMAC-SHA256 signature over the serialized payload `{ proposal_id, service_id, base_amount, card_brand, installment_options, computed_at, expires_at }` using `IN…",HMAC-SHA256 via Vault; 10min TTL
Req7.AC5,7,5,"§4.3, §3.12",25;18,117,COVERED,`accept_proposal` receives the payload,the server MUST recompute the HMAC over the submitted payload fields and compare with `installment_selection_hmac` using a constant-time comparison; a signature mismatch MUST retur…,accept_proposal constant-time HMAC verify
Req7.AC6,7,6,"§4.3, §3.12",17;28,117,COVERED,the charge amount is computed,"the cron MUST call the Postgres RPC `calculate_charge_amount(payment_token_id, base_amount, installment_number)` using the persisted `card_brand` from `payment_tokens`; this RPC MU…",Cron uses payment_calculate_charge_amount not HMAC
Req7.AC7,7,7,"§4.3, §3.12",17;28,117,COVERED,the cron executes `calculate_charge_amount`,"the charge amount MUST reflect the current rates at cron execution time, not the rates displayed during checkout; this is a known and intentional behavior for operational flexibili…",Fee drift intentional at charge time
Req8.AC1,8,1,"§4.4.1, §4.4.2",25;76,117;95,COVERED,`accept_proposal` is submitted,"the RPC parameters MUST include: `p_proposal_id`, `p_selected_slot` (JSON — existing CNS slot; persists `scheduled_start_date`, `scheduled_end_date`, `scheduled_shift`), `p_idempot…",Required payment params on accept_proposal
Req8.AC2,8,2,"§4.4.1, §4.4.2",25,117;95,COVERED,validation passes and all preconditions are satisfied,the system MUST execute a single PostgreSQL transaction that: (1) creates or reuses `contracted_services` with `status = 'PENDING_PAYMENT'` and agreed slot columns populated from `…,Single TX schedule + audit CHARGE_SCHEDULED
Req8.AC3,8,3,"§4.4.1, §4.4.2",25,117,COVERED,server-side validation runs,"it MUST load `provider_proposals` and revalidate `pricing_signature` over `proposed_amount`, `tax_amount`, and `final_amount`; invalid or expired signature MUST return HTTP 400 wit…",pricing_signature validation
Req8.AC4,8,4,"§4.4.1, §4.4.2",25;3,117,COVERED,`charge_scheduled_at` is computed,`charge_scheduled_at` MUST be set to `now()` so the next cron invocation picks it up immediately; the `payment_audit_log` entry MUST include `metadata.emergency_scheduling = true`.,Emergency charge_scheduled_at = now()
Req8.AC5,8,5,"§4.4.1, §4.4.2",25,117,COVERED,`accept_proposal` validates the token,the system MUST return HTTP 422 with `error_code: 'PAYMENT_TOKEN_INACTIVE'`; the acceptance MUST NOT proceed.,PAYMENT_TOKEN_INACTIVE rejection
Req8.AC6,8,6,"§4.4.1, §4.4.2",25,117,COVERED,`accept_proposal` validates preconditions,the system MUST return HTTP 409 with `error_code: 'PROVIDER_NOT_CREDENTIALED'`; the acceptance MUST NOT proceed.,PROVIDER_NOT_CREDENTIALED rejection
Req8.AC7,8,7,"§4.4.1, §4.4.2",25,92,COVERED,the `idempotency_key = contracted_service_id` UNIQUE constraint is checked,the database MUST reject the duplicate insert; the API MUST detect the conflict and return the existing `contracted_services.id` with HTTP 200 (idempotent success).,Idempotent retry via idempotency_key
Req8.AC8,8,8,"§4.4.1, §4.4.2",23,117,COVERED,"`payment_schedules.state ∈ {SCHEDULED, FAILED}`","the `payment_update_method` RPC MUST allow updating `client_card_token_id` without re-executing `accept_proposal`; if the new card brand differs, a new HMAC-signed installment calc…",payment_update_method without re-accept
Req8.AC9,8,9,"§4.4.1, §4.4.2",25,,PARTIAL,`payment_method = 'PIX'`,`payment_token_id` MUST NOT be required; `installment_number` MUST default to 1; `installment_selection_hmac` MUST NOT be required; a `pix_config` sub-object with method-specific f…,DEFERRED: PIX payment method — out of MVP scope
Req9.AC1,9,1,"§3.0, §3.5, §4.4.1",9;25,115,COVERED,the `payment_schedules` record is created,"it MUST contain at minimum: `id` (UUID), `contracted_service_id` (UUID, FK → `contracted_services.id`), `client_id`, `provider_id` (service provider entity), `gateway_slug` (`'netc…",payment_schedules column completeness at accept
Req9.AC2,9,2,"§3.0, §3.5, §4.4.1",87,119,COVERED,the service is cancelled before `charge_scheduled_at`,the schedule MUST be transitioned to `CANCELLED` within the same database transaction as the service cancellation; `cancelled_at` and `cancellation_reason` MUST be set; no gateway …,Pre-charge cancel → CANCELLED same TX
Req9.AC3,9,3,"§3.0, §3.5, §4.4.1",24;86,119,COVERED,"rescheduling is confirmed and `payment_schedules.state ∈ {SCHEDULED, FAILED, IN_ANALYSIS}`","`charge_scheduled_at` MUST be updated to `MAX(now(), payment_service_execution_at(contracted_services) - interval '2 days')`; if `payment_service_execution_at(contracted_services) …",Reschedule recalculates charge_scheduled_at + audit
Req9.AC4,9,4,"§3.0, §3.5, §4.4.1",86,119,COVERED,the service is rescheduled,only `contracted_services` slot columns are updated; refund/T-12h windows recalculate from updated `payment_service_execution_at`; the schedule state MUST remain `PAID`; no new cha…,Post-PAID reschedule: slot only; schedule stays PAID
Req9.AC5,9,5,"§3.0, §3.5, §4.4.1",86,119,COVERED,a reschedule is requested,reschedule MUST be rejected (out of MVP payment scope).,Reject reschedule after EXECUTED/COMPLETED
Req10.AC1,10,1,"§4.5, §5.3",28,116;99,COVERED,it selects eligible records,"the query MUST apply ALL of the following filters simultaneously: `state IN ('SCHEDULED', 'FAILED')` AND `automatic_attempt_count < max_attempts` AND `charge_scheduled_at::date <= …",Eligibility filters in claim RPC
Req10.AC2,10,2,"§4.5, §5.3",28,116,COVERED,the cron acquires a lease for one record,"it MUST execute `SELECT ... FOR UPDATE SKIP LOCKED` within an explicit transaction; atomically set `state = 'PROCESSING'`, `locked_until = now() + '<payment_lease_duration_minutes>…",SKIP LOCKED lease + attempt increment same TX
Req10.AC3,10,3,"§4.5, §5.3",28;29;63;65,122,COVERED,the final charge amount is computed and the `chargeCreate` payload is assembled,the cron MUST: (1) invoke `payment_calculate_charge_amount(...)` for `charge_amount` (current card fees — fee drift); (2) set `payoutRuleInput` with provider `FIXED_AMOUNT = paymen…,charge_amount + split + ClearSale fields at charge
Req10.AC4,10,4,"§4.5, §5.3",29;31;65,122,COVERED,the success response is received,"the cron MUST, in a single transaction: set `payment_schedules.state = 'PAID'`, `locked_until = NULL`, `paid_at = now()`, `paid_amount = charge_amount`, `gateway_charge_id`, `prov…",PAID → CONFIRMED + notifications
Req10.AC5,10,5,"§4.5, §5.3",29;31,122,COVERED,the antifraude response is received,"the cron MUST set `state = 'IN_ANALYSIS'`, `locked_until = NULL`, persist `gateway_charge_id` and `gateway_transaction_id`; insert a `payment_attempts` record with `outcome = 'IN…",IN_ANALYSIS path + client notification
Req10.AC6,10,6,"§4.5, §5.3",29;31;126,122,COVERED,the rejection is received,"the cron MUST: set `state = 'FAILED_PERMANENT'`, `locked_until = NULL`, `failed_at = now()`, `failure_code`, `failure_reason`; insert a `payment_attempts` record with `outcome = 'R…",REJECTED → FAILED_PERMANENT + notifications
Req10.AC7,10,7,"§4.5, §5.3",29;31;126,122,COVERED,the error is received and `automatic_attempt_count < max_attempts`,"the cron MUST: set `state = 'FAILED'`, `locked_until = NULL`, `next_retry_at = now() + '<charge_retry_interval_minutes> minutes'::interval`, `failure_code`, `failure_reason`; inser…",Retryable → FAILED + next_retry_at
Req10.AC8,10,8,"§4.5, §5.3",29,122,COVERED,the failure is processed,"the cron MUST transition to `FAILED_PERMANENT` (not `FAILED`); all `FAILED_PERMANENT` consequences apply (escalated notifications, manual payment button enablement).",Exhausted retries → FAILED_PERMANENT
Req10.AC9,10,9,"§4.5, §5.3",65;61,93;97,COVERED,the next cron execution picks up the record,"it MUST call `getTransaction(referenceCode = contracted_service_id)` via the adapter FIRST; if the gateway confirms `PAID`, it MUST reconcile as success; if `null`, it MAY issue a …",Timeout → getTransaction first
Req10.AC10,10,10,"§4.5, §5.3",61;65;29,93,COVERED,this error is detected,the adapter MUST call `getTransaction(referenceCode)` to retrieve the existing charge's state; the schedule MUST be updated to match the gateway state; no new charge MUST be issued…,referenceCode conflict → getTransaction reconcile
Req10.AC11,10,11,"§4.5, §5.3",65;122,122,COVERED,one schedule's gateway call fails,"the failure MUST NOT abort processing of remaining eligible schedules; each schedule MUST be processed independently with its own error boundary, Sentry span, and transaction scope…",Per-schedule error isolation in EF
Req11.AC1,11,1,"§4.6, §8.1",28,116,COVERED,the cron fires,the record MUST be selected and re-attempted; no manual state reset is required.,FAILED auto re-attempt when eligible
Req11.AC2,11,2,"§4.6, §8.1",29,116,COVERED,a charge fails with a retryable error,`next_retry_at` MUST be set to `now() + interval '30 minutes'`; the cron MUST skip this record until `next_retry_at` lapses.,next_retry_at from platform_constants interval
Req11.AC3,11,3,"§4.6, §8.1",29,116,COVERED,it is received on any attempt number,the system MUST classify the error as terminal and transition immediately to `FAILED_PERMANENT`; remaining retry budget MUST be abandoned; the `failure_code` in `payment_attempts` …,Terminal errors → FAILED_PERMANENT immediately
Req11.AC4,11,4,"§4.6, §8.1",29,116,COVERED,the third failure is processed,"`automatic_attempt_count = 3`, `state = 'FAILED_PERMANENT'`, `failed_permanently_at = now()` MUST be committed; no further automatic retry MUST occur; manual client retries remain …",max_attempts exhausted → FAILED_PERMANENT
Req11.AC5,11,5,"§4.6, §8.1",30;66;29,96,COVERED,the `manual-charge-payment` Edge Function is invoked,"the manual attempt MUST increment `manual_attempt_count`, set `state = 'PROCESSING'`, acquire a lease, and execute the charge exactly as the cron would; success transitions to `PAI…",Manual attempt semantics
Req11.AC6,11,6,"§4.6, §8.1",30;23;66,96,COVERED,the new card is tokenized and selected,the system MUST create a new `payment_tokens` record and update `payment_schedules.payment_token_id` to the new token before executing the charge; `payment_audit_log` MUST record t…,Manual card replacement before charge
Req11.AC7,11,7,"§4.6, §8.1",28,116,COVERED,existing `FAILED` schedules are re-evaluated,they MUST be reconsidered using the NEW limit applied to `automatic_attempt_count`; a previously-exhausted schedule that now has remaining budget MUST be eligible for retry on the …,Re-evaluate against current max_charge_attempts constant
Req12.AC1,12,1,"§4.5.2, §1.7.9",31;126;65,122,COVERED,the success is committed,"the system MUST enqueue via the Multichannel Message Dispatcher: (1) a Push notification to the client confirming payment, including service name, scheduled date, charged amount, a…",PAID success Push+Email bypass both parties
Req12.AC2,12,2,"§4.5.2, §1.7.9",31;126,122,COVERED,the failure is committed,"the system MUST enqueue a Push notification AND Email to the client informing them: (a) the payment could not be processed, (b) the system will retry automatically, (c) remaining r…",FAILED retryable client-only notification
Req12.AC3,12,3,"§4.5.2, §1.7.9",31;126,122,COVERED,the permanent failure is committed,"the system MUST enqueue: (1) Push + Email to the client (bypass priority) explaining: payment has failed permanently, manual payment is required via the service screen, the service…",FAILED_PERMANENT client+provider notifications
Req12.AC4,12,4,"§4.5.2, §1.7.9",31;126,122,COVERED,the antifraude state is committed,the client MUST receive a Push notification informing them that their payment is under review; NO auto-cancellation timing MUST be triggered during this state.,IN_ANALYSIS client push
Req12.AC5,12,5,"§4.5.2, §1.7.9",31;126;109,122,COVERED,the failure notification is dispatched to the provider,"the notification content MUST be non-financial (no charge amounts), stating only that client payment is pending and that the platform will keep them informed.",First failure provider non-financial push — verify matrix in Task 126
Req12.AC6,12,6,"§4.5.2, §1.7.9",31;66,96,COVERED,the success is committed,both client (Push + Email) and provider (Push) MUST be notified that payment was confirmed and service execution may proceed.,Manual success notifications
Req13.AC1,13,1,§4.11,79,96,COVERED,the client views the service detail screen,"the UI MUST display a prominent ""Efetuar Pagamento"" button; this button MUST NOT render when state is `SCHEDULED`, `PROCESSING`, `PAID`, `CANCELLED`, or `IN_ANALYSIS`.",Efetuar Pagamento button visibility gate
Req13.AC2,13,2,§4.11,79;66,96,COVERED,the manual charge flow initiates,"the client MUST be presented with: (1) their current saved card (or a ""Change card"" option), (2) their current installment selection (or option to modify), (3) the fee-inclusive am…",Manual flow UI: card + installment + amount
Req13.AC3,13,3,§4.11,30;66,96,COVERED,it validates preconditions,"it MUST verify: `payment_schedules.state ∈ {'FAILED', 'FAILED_PERMANENT'}` (reject with HTTP 409 if not); service is not cancelled; T-12h threshold has not passed; a fresh `clearsa…",Precondition validation + fresh ClearSale session
Req13.AC4,13,4,§4.11,66;29;31,96,COVERED,`transactionState = 'PAID'`,"`payment_schedules.state` MUST transition to `PAID`; client and provider MUST receive success notifications; the ""Efetuar Pagamento"" button MUST disappear on the next screen refres…",Manual PAID success path
Req13.AC5,13,5,§4.11,79;66,96,COVERED,the gateway returns `REJECTED`,"the inline UI MUST display the error reason in plain Portuguese; the client MUST be offered: ""Try with a different card"" (re-tokenization flow inline) and ""Contact support"" option.",Terminal error inline UI PT-BR
Req13.AC6,13,6,§4.11,30;79,96,COVERED,the client attempts a manual payment,the server MUST return HTTP 409 with `error_code: 'SERVICE_AUTO_CANCELLED'`; the UI MUST inform the client that the service was already cancelled due to payment non-resolution.,T-12h gate SERVICE_AUTO_CANCELLED
Req14.AC1,14,1,"§4.12, §1.7.7",44;52,119;120,COVERED,it selects records for auto-cancellation,it MUST select `contracted_services` records WHERE `payment_service_execution_at(contracted_services) - now() <= interval '12 hours'` AND `payment_schedules.state IN ('FAILED_PERMA…,Selection criteria payment_service_execution_at - 12h
Req14.AC2,14,2,"§4.12, §1.7.7",44;52,119,COVERED,auto-cancellation is executed due to non-payment,"the system MUST atomically in a single transaction: (1) transition `contracted_services.status = 'CANCELLED'`, `cancellation_reason = 'NON_PAYMENT'`, (2) transition `payment_schedu…",Atomic cancel service + schedule + audit
Req14.AC3,14,3,"§4.12, §1.7.7",44;52;126,119,COVERED,notifications are dispatched,"the system MUST enqueue (bypass priority): (1) Push + Email to client explaining the service was cancelled due to unpaid payment, offering support contact; (2) Push to provider inf…",Post-cancel MMD bypass notifications
Req14.AC4,14,4,"§4.12, §1.7.7",44;52,120,COVERED,the auto-cancellation cron evaluates the record,it MUST NOT cancel; client-initiated cancel MUST return HTTP 409 `PAYMENT_IN_ANALYSIS`.,IN_ANALYSIS excluded before T-12h
Req14.AC5,14,5,"§4.12, §1.7.7",44;52;113,119;120,COVERED,the auto-cancellation cron fires,"it MUST cancel the service, reconcile with gateway (`chargeVoid` if not captured), and notify client and provider.",IN_ANALYSIS at T-12h cancel + gateway void
Req14.AC6,14,6,"§4.12, §1.7.7",44;52,119,COVERED,the cron evaluates the record,the cron MUST skip the record; paid services MUST never be auto-cancelled by the payment subsystem.,Skip PAID records
Req14.AC7,14,7,"§4.12, §1.7.7",44;52,119,COVERED,it attempts to cancel an already-cancelled service,the operation MUST be idempotent; detecting `contracted_services.status = 'CANCELLED'` MUST cause a no-op without error or duplicate notifications.,Idempotent on already CANCELLED
Req14.AC8,14,8,"§4.12, §1.7.7",44;88;126,119,COVERED,suspension is recorded,the client MUST be notified immediately that the service payment is on hold; the client MAY cancel voluntarily without penalty; the cron MUST skip charging until ops unfreezes or T…,SUSPENDED immediate client notify + skip charge
